sample_id,version,pipeline,model,prompt_strategy,svc_label,issue_type
VeriCoding_VA0080_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0115_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0176_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0187_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0187_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0187_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0230_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0230_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0230_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0230_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,spec_mismatch
VeriCoding_VA0233_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0264_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0347_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,code_mismatch;code_spec_inconsistency
VeriCoding_VA0347_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0399_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0399_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0455_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0455_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0455_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0455_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0514_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0532_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0530_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0530_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0533_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0533_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0533_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,code_mismatch;spec_mismatch;code_spec_inconsistency
VeriCoding_VA0550_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0556_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0561_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0590_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0633_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0644_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0655_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0655_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0659_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0659_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0659_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0659_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0667_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0667_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0671_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0671_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0671_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0671_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0673_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0050_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0073_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0073_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0085_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0085_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0085_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0085_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0085_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0138_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0151_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0167_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0287_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0432_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0432_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0669_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0669_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0669_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0669_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0669_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0679_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0679_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0679_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0679_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0679_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0700_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0700_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0722_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0722_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0722_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0722_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0722_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0727_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0727_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0729_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0729_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0729_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0729_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0732_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0732_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0749_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0749_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0749_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0756_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0756_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0756_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0771_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0771_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0771_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0771_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0787_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0787_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0791_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0791_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0791_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0791_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0797_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,code_mismatch;spec_mismatch;code_spec_inconsistency
VeriCoding_VD0797_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,code_mismatch;spec_mismatch;code_spec_inconsistency
VeriCoding_VD0799_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0799_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0799_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0804_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,code_mismatch;spec_mismatch
VeriCoding_VD0804_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,code_mismatch;spec_mismatch
VeriCoding_VD0804_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,code_mismatch;spec_mismatch;code_spec_inconsistency
VeriCoding_VD0804_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,code_mismatch;spec_mismatch;code_spec_inconsistency
VeriCoding_VD0807_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,code_mismatch;spec_mismatch;code_spec_inconsistency
VeriCoding_VD0807_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0807_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0908_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0908_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VD0908_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VH0011_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VH0055_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VH0055_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VH0055_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VH0055_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VH0082_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VH0094_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VH0094_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VH0107_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VH0107_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VJ0000_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VJ0016_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,code_mismatch;spec_mismatch;code_spec_inconsistency
VeriCoding_VJ0022_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VJ0057_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VJ0080_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VJ0088_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VJ0088_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VJ0096_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VJ0105_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,code_mismatch;spec_mismatch
VeriCoding_VJ0159_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VS0005_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VS0005_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VS0006_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VS0023_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VS0031_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VS0032_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0010_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0010_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0010_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0029_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0043_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,spec_mismatch;code_spec_inconsistency
VeriCoding_VT0071_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0071_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0071_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0071_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0111_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0111_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0123_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,spec_mismatch;code_spec_inconsistency
VeriCoding_VT0124_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0124_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0124_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0124_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0146_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0135_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0135_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0135_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0135_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0192_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0192_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0192_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0262_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0262_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0280_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0278_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0278_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0332_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0457_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0457_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0469_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0483_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,code_mismatch;spec_mismatch;code_spec_inconsistency
VeriCoding_VT0495_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0495_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0520_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0520_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0520_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0520_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0520_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0540_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0540_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0540_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0540_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0540_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0546_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0546_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0546_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0556_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0568_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VT0575_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,code_mismatch;spec_mismatch
VeriCoding_VT0655_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VV0068_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VV0129_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VV0135_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VV0135_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VV0135_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VV0135_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VV0148_vericoded,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VV0151_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VV0162_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VV0162_vericoded,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VV0177_vericoded,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VerusBench_CloverBench_array_product_strong,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VerusBench_CloverBench_array_sum_strong,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VerusBench_Diffy_s12if,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VerusBench_Diffy_s22if,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VerusBench_Diffy_sina1,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VerusBench_Diffy_sina3,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VerusBench_MBPP_task_id_424,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VerusBench_MBPP_task_id_433,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VerusBench_MBPP_task_id_616,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,code_mismatch;spec_mismatch
VerusBench_MBPP_task_id_618,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VerusBench_Misc_fib,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,code_mismatch;spec_mismatch;code_spec_inconsistency
VerusBench_Misc_havoc_inline_post,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,code_mismatch;code_spec_inconsistency
VerusBench_Misc_linearsearch,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VerusBench_Misc_map,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VerusBench_Misc_map,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
DAFNY2VERUS-COLLECTION_2,01.rs,p1,deepseek-v3.2,fewshot,0,code_mismatch;code_spec_inconsistency
DAFNY2VERUS-COLLECTION_2,02.rs,p1,deepseek-v3.2,fewshot,0,code_mismatch;code_spec_inconsistency
HumanEval-Verus_task_46,02.rs,p1,deepseek-v3.2,fewshot,0,code_mismatch;spec_mismatch;code_spec_inconsistency
MBPP-verified_task_49,02.rs,p1,deepseek-v3.2,fewshot,0,code_mismatch;code_spec_inconsistency
MBPP-verified_task_66,00.rs,p1,deepseek-v3.2,fewshot,1,
MBPP-verified_task_66,01.rs,p1,deepseek-v3.2,fewshot,1,
MBPP-verified_task_66,02.rs,p1,deepseek-v3.2,fewshot,1,
MBPP-verified_task_66,03.rs,p1,deepseek-v3.2,fewshot,1,
MBPP-verified_task_66,04.rs,p1,deepseek-v3.2,fewshot,1,
MBPP-verified_task_74,01.rs,p1,deepseek-v3.2,fewshot,1,
MBPP-verified_task_74,02.rs,p1,deepseek-v3.2,fewshot,1,
MBPP-verified_task_74,03.rs,p1,deepseek-v3.2,fewshot,1,
VeriCoding_VA0042_vericoded,03.rs,p1,deepseek-v3.2,fewshot,1,
VeriCoding_VA0049_vericoded,00.rs,p1,deepseek-v3.2,fewshot,1,
VeriCoding_VA0080_vericoded,03.rs,p1,deepseek-v3.2,fewshot,1,
VeriCoding_VA0119_vericoded,04.rs,p1,deepseek-v3.2,fewshot,1,
VeriCoding_VA0176_vericoded,01.rs,p1,deepseek-v3.2,fewshot,1,
VeriCoding_VA0176_vericoded,04.rs,p1,deepseek-v3.2,fewshot,1,
VeriCoding_VA0187_vericoded,02.rs,p1,deepseek-v3.2,fewshot,1,
VeriCoding_VA0233_vericoded,01.rs,p1,deepseek-v3.2,fewshot,1,
VeriCoding_VA0233_vericoded,02.rs,p1,deepseek-v3.2,fewshot,1,
VeriCoding_VA0422_vericoded,02.rs,p1,deepseek-v3.2,fewshot,1,
VeriCoding_VA0422_vericoded,03.rs,p1,deepseek-v3.2,fewshot,1,
VeriCoding_VA0455_vericoded,00.rs,p1,deepseek-v3.2,fewshot,1,
VeriCoding_VA0455_vericoded,01.rs,p1,deepseek-v3.2,fewshot,1,
VeriCoding_VA0455_vericoded,03.rs,p1,deepseek-v3.2,fewshot,1,
